RA,Dec,z_cl,N_mem,logMs,z_bcg,ID,
35.967439,-4.220789,1.176,14.968,12.327,-1.0,C19a1sW01340,
35.968441,-2.37865,0.666,14.097,12.097,0.65777,C19a1sW01341,
35.969096,-3.772831,1.0821,13.536,12.258,-1.0,C19a1sW01342,
35.985056,-3.720644,0.8459,27.566,12.511,-1.0,C19a1sW01343,
35.987477,-3.098521,0.276,13.6,12.049,0.29667,C19a1sW01344,
35.991296,-4.571125,0.458,19.031,12.318,0.49943,C19a1sW01345,
36.002644,-3.426512,0.8077,36.322,12.592,-1.0,C19a1sW01346,
36.0071,-5.280487,0.4971,13.18,12.222,0.49424,C19a1sW01347,
36.009032,-5.090753,0.3182,15.842,12.306,0.32361,C19a1sW01348,
36.025071,-2.98535,0.862,13.33,12.401,-1.0,C19a1sW01349,
36.034172,-4.33603,0.8921,11.805,12.146,-1.0,C19a1sW01350,
36.035731,-2.472806,0.332,16.067,12.301,-1.0,C19a1sW01351,
36.043888,-5.676203,0.8275,11.862,12.12,0.8583,C19a1sW01352,
36.076477,-4.237427,1.0619,16.816,12.352,-1.0,C19a1sW01353,
36.079245,-6.053694,0.9541,12.49,12.16,-1.0,C19a1sW01354,
36.083807,-3.607357,0.62,29.619,12.629,0.61123,C19a1sW01355,
36.096882,-4.721141,0.4777,13.971,12.3,0.49633,C19a1sW01356,
36.106838,-5.157932,0.89,13.225,12.343,0.8687,C19a1sW01357,
36.123897,-4.801057,0.8636,15.172,12.155,-1.0,C19a1sW01358,
36.136831,-6.471949,0.7732,15.17,12.272,-1.0,C19a1sW01359,
36.138503,-4.238717,0.252,15.318,12.172,0.26365,C19a1sW01360,
36.139607,-4.835344,0.4892,25.163,12.592,0.49423,C19a1sW01361,
36.154555,-4.256913,1.0559,10.935,12.224,-1.0,C19a1sW01362,
36.162923,-3.293117,0.8622,16.081,12.182,-1.0,C19a1sW01363,
36.17379,-3.18518,1.2482,12.083,12.178,-1.0,C19a1sW01364,
36.186541,-6.315559,0.4622,15.323,12.288,0.46859,C19a1sW01365,
36.189265,-2.228059,1.0601,21.007,12.374,-1.0,C19a1sW01366,
36.194459,-4.198341,0.8297,11.492,12.349,-1.0,C19a1sW01367,
36.195021,-5.449382,0.7638,10.253,12.067,-1.0,C19a1sW01368,
36.213355,-2.430037,0.213,11.0,11.962,-1.0,C19a1sW01369,
36.21684,-1.869259,0.302,14.616,12.041,-1.0,C19a1sW01370,
36.217599,-3.405325,0.9639,10.947,12.152,-1.0,C19a1sW01371,
36.228566,-3.534383,0.7983,16.63,12.314,0.79441,C19a1sW01372,
36.230285,-6.342111,1.254,14.328,12.432,-1.0,C19a1sW01373,
36.248962,-5.451668,0.452,11.577,12.084,0.44547,C19a1sW01374,
36.26517,-2.242113,0.4087,12.215,12.045,-1.0,C19a1sW01375,
36.282106,-3.601369,1.196,10.601,12.322,-1.0,C19a1sW01376,
36.28679,-4.836353,0.3128,10.588,12.047,0.31133,C19a1sW01377,
36.293729,-4.030552,0.174,13.598,12.119,0.17338,C19a1sW01378,
36.296935,-4.071623,0.9069,13.794,12.32,-1.0,C19a1sW01379,
36.297016,-5.968811,0.2569,10.14,12.25,0.28043,C19a1sW01380,
36.297882,-1.995025,0.32,15.417,12.149,-1.0,C19a1sW01381,
36.301202,-6.383149,0.2038,44.688,12.49,0.20406,C19a1sW01382,
36.309161,-6.349156,1.1211,10.971,12.174,-1.0,C19a1sW01383,
36.31102,-5.208284,0.921,20.931,12.276,-1.0,C19a1sW01384,
36.311577,-6.501466,0.774,15.153,12.185,-1.0,C19a1sW01385,
36.313388,-6.310056,0.98,15.469,12.367,-1.0,C19a1sW01386,
36.318323,-1.941247,0.7684,17.952,12.368,0.77339,C19a1sW01387,
36.322703,-3.479423,0.9719,19.006,12.458,-1.0,C19a1sW01388,
36.323486,-2.948923,1.3406,11.182,12.276,-1.0,C19a1sW01389,
36.331946,-4.317039,0.1533,15.916,12.269,0.14343,C19a1sW01390,
36.33221,-6.406523,1.2,14.996,12.54,-1.0,C19a1sW01391,
36.337087,-2.10431,0.186,12.05,12.23,0.17204,C19a1sW01392,
36.340727,-2.944967,0.282,11.193,12.113,0.28801,C19a1sW01393,
36.34221,-5.147775,0.6684,11.935,12.153,-1.0,C19a1sW01394,
36.351401,-3.03126,1.202,10.426,11.956,-1.0,C19a1sW01395,
36.352973,-4.679218,0.2557,15.312,12.147,0.26428,C19a1sW01396,
36.353241,-4.713696,0.5143,10.847,12.074,-1.0,C19a1sW01397,
36.355463,-2.63197,0.7971,10.856,12.107,-1.0,C19a1sW01398,
36.357607,-3.045456,0.6444,12.141,12.188,-1.0,C19a1sW01399,
36.364613,-3.917308,0.7846,27.499,12.312,-1.0,C19a1sW01400,
36.369411,-6.518921,1.2721,11.027,12.153,-1.0,C19a1sW01401,
36.372879,-5.1187,0.8747,16.044,12.213,-1.0,C19a1sW01402,
36.373597,-4.380288,0.3606,10.733,11.976,0.36602,C19a1sW01403,
36.37563,-2.564502,1.1905,10.936,11.909,-1.0,C19a1sW01404,
36.386392,-4.407753,0.904,13.628,12.255,0.88608,C19a1sW01405,
36.388843,-5.534609,0.5508,13.154,12.155,0.56614,C19a1sW01406,
36.391748,-2.328795,1.0179,11.96,12.163,-1.0,C19a1sW01407,
36.395948,-3.16388,0.134,31.703,12.169,0.14068,C19a1sW01408,
36.403077,-4.254975,0.5485,11.256,12.315,0.55575,C19a1sW01409,
36.416912,-2.850573,1.1543,10.528,12.03,-1.0,C19a1sW01410,
36.426618,-2.636117,1.172,10.365,12.273,-1.0,C19a1sW01411,
36.448672,-1.833002,0.8207,11.511,12.247,-1.0,C19a1sW01412,
36.455417,-5.896174,0.2241,26.676,12.327,0.23273,C19a1sW01413,
36.460989,-4.274217,1.0521,10.635,12.289,-1.0,C19a1sW01414,
36.471878,-1.966413,0.4711,19.912,12.25,-1.0,C19a1sW01415,
36.487061,-5.64285,0.2028,18.961,12.245,0.19469,C19a1sW01416,
36.498829,-3.08052,0.4394,10.441,11.884,0.43968,C19a1sW01417,
36.519144,-2.56253,1.0974,12.755,12.216,-1.0,C19a1sW01418,
36.525902,-2.060627,1.1439,10.547,12.195,-1.0,C19a1sW01419,
36.53751,-2.211515,0.7061,13.474,12.306,-1.0,C19a1sW01420,
36.547505,-5.81167,0.8147,18.218,12.449,-1.0,C19a1sW01421,
36.567635,-6.393916,1.1546,13.926,12.184,-1.0,C19a1sW01422,
36.575585,-3.999447,0.2,12.508,12.07,0.2093,C19a1sW01423,
36.578514,-5.965634,1.2946,11.345,12.325,-1.0,C19a1sW01424,
36.584714,-2.47338,0.26,29.051,12.471,0.27927,C19a1sW01425,
36.585789,-3.538326,1.17,11.292,12.142,-1.0,C19a1sW01426,
36.58884,-4.928173,1.3452,13.016,12.224,-1.0,C19a1sW01427,
36.602493,-4.756714,0.8954,15.943,12.432,0.88397,C19a1sW01428,
36.607561,-6.281178,0.952,17.435,12.163,-1.0,C19a1sW01429,
36.617904,-2.001785,0.67,11.023,12.151,-1.0,C19a1sW01430,
36.618486,-5.711072,0.811,16.834,12.305,0.794,C19a1sW01431,
36.628231,-2.983659,0.8437,13.388,12.214,-1.0,C19a1sW01432,
36.633964,-2.236813,0.3529,15.663,12.151,-1.0,C19a1sW01433,
36.636883,-5.008636,0.4903,15.943,12.289,0.49769,C19a1sW01434,
36.648631,-4.069549,0.352,16.651,12.243,0.34554,C19a1sW01435,
36.68667,-3.684094,0.316,10.19,12.044,0.3283,C19a1sW01436,
36.693932,-5.705895,0.8216,21.32,12.48,-1.0,C19a1sW01437,
36.695363,-1.905639,0.1835,27.497,12.405,-1.0,C19a1sW01438,
36.697182,-4.196463,0.2114,10.861,12.305,0.2101,C19a1sW01439,
36.710363,-5.197915,1.295,11.474,12.185,-1.0,C19a1sW01440,
36.728705,-4.087911,0.774,16.439,12.38,-1.0,C19a1sW01441,
36.7323,-2.492219,0.8203,14.268,12.367,-1.0,C19a1sW01442,
36.78355,-1.864446,0.644,10.708,11.763,-1.0,C19a1sW01443,
36.784144,-5.587815,0.544,13.843,12.278,0.55728,C19a1sW01444,
36.785825,-6.227472,0.9881,14.669,12.274,-1.0,C19a1sW01445,
36.785949,-3.162025,0.8568,15.494,12.265,-1.0,C19a1sW01446,
36.786449,-2.149428,0.7655,13.504,12.284,0.74404,C19a1sW01447,
36.787204,-4.298855,1.0864,18.509,12.318,-1.0,C19a1sW01448,
36.795154,-6.458919,0.7872,13.455,12.356,-1.0,C19a1sW01449,
36.79975,-2.711975,0.352,10.766,11.899,-1.0,C19a1sW01450,
36.808729,-3.334948,0.31,11.872,12.12,-1.0,C19a1sW01451,
36.810916,-5.397596,1.2929,14.518,12.411,-1.0,C19a1sW01452,
36.813141,-4.172414,0.89,10.338,12.337,-1.0,C19a1sW01453,
36.813271,-5.075646,0.1517,20.373,12.32,0.14311,C19a1sW01454,
36.818755,-6.663786,0.7807,12.576,12.316,-1.0,C19a1sW01455,
36.820764,-5.291226,0.564,10.366,11.991,-1.0,C19a1sW01456,
36.83862,-1.853774,0.946,22.235,12.21,-1.0,C19a1sW01457,
36.839624,-5.960415,0.2237,10.661,11.966,0.23045,C19a1sW01458,
36.841302,-4.614475,1.1502,18.151,12.452,1.1723,C19a1sW01459,
36.845749,-2.419612,0.262,10.318,11.988,0.30077,C19a1sW01460,
36.848263,-2.05185,0.4304,11.127,11.979,0.44035,C19a1sW01461,
36.848554,-2.231317,1.0408,10.216,12.122,-1.0,C19a1sW01462,
36.848741,-4.064248,1.132,11.142,12.03,-1.0,C19a1sW01463,
36.855091,-4.603053,0.266,19.558,12.359,0.29356,C19a1sW01464,
36.876773,-3.499003,0.7861,13.429,12.147,-1.0,C19a1sW01465,
36.878531,-6.417392,0.3605,12.392,11.827,0.3837,C19a1sW01466,
36.882698,-2.217852,0.658,10.838,12.253,-1.0,C19a1sW01467,
36.893785,-2.24528,0.98,10.147,12.22,-1.0,C19a1sW01468,
36.89671,-4.5243,0.62,10.671,12.072,0.63395,C19a1sW01469,
36.909256,-3.299209,0.847,54.071,12.757,0.83778,C19a1sW01470,
36.911644,-6.549154,0.946,11.224,12.011,-1.0,C19a1sW01471,
36.927677,-5.351692,0.9049,12.379,12.121,-1.0,C19a1sW01472,
36.92869,-6.335311,1.0343,15.298,12.426,-1.0,C19a1sW01473,
36.950521,-2.566591,0.8609,10.333,12.161,-1.0,C19a1sW01474,
36.958352,-6.426803,1.248,11.435,12.457,-1.0,C19a1sW01475,
36.965622,-3.999976,0.862,20.265,12.544,-1.0,C19a1sW01476,
36.979713,-1.961023,1.1539,10.08,12.219,-1.0,C19a1sW01477,
36.98739,-3.318221,0.946,16.192,12.056,-1.0,C19a1sW01478,
36.993609,-6.551197,0.8244,10.558,11.978,-1.0,C19a1sW01479,
37.003442,-4.863965,0.2748,37.058,12.461,0.29846,C19a1sW01480,
37.011315,-2.200503,0.2157,28.007,12.447,-1.0,C19a1sW01481,
37.011366,-3.330065,1.1721,15.478,12.199,-1.0,C19a1sW01482,
37.013892,-2.816218,0.4194,11.412,11.979,-1.0,C19a1sW01483,
37.01829,-5.094372,0.9485,13.473,12.293,-1.0,C19a1sW01484,
37.020253,-4.905576,0.896,11.422,12.338,-1.0,C19a1sW01485,
37.060062,-2.078777,1.1561,16.039,12.393,-1.0,C19a1sW01486,
37.068872,-4.043141,1.1501,10.489,12.31,-1.0,C19a1sW01487,
37.086017,-2.043443,0.582,13.175,12.107,-1.0,C19a1sW01488,
37.088211,-6.315862,0.968,10.981,12.343,-1.0,C19a1sW01489,
37.095042,-2.80756,0.972,10.431,12.402,-1.0,C19a1sW01490,
37.103647,-1.963632,1.1442,18.248,12.353,-1.0,C19a1sW01491,
37.115949,-4.435441,0.4063,23.149,12.392,0.43208,C19a1sW01492,
37.12189,-4.994117,0.3438,18.544,12.368,0.33415,C19a1sW01493,
37.130257,-4.730876,0.622,37.301,12.653,0.61142,C19a1sW01494,
37.136615,-1.96449,0.968,21.886,12.499,-1.0,C19a1sW01495,
37.147189,-3.705877,0.8068,10.68,12.159,-1.0,C19a1sW01496,
37.172141,-6.291411,0.7729,15.402,12.487,-1.0,C19a1sW01497,
37.193876,-6.530874,0.832,18.952,12.201,-1.0,C19a1sW01498,
37.2011,-3.760854,0.736,17.679,12.542,0.71839,C19a1sW01499,
37.2195,-2.656601,0.3522,11.9,12.183,-1.0,C19a1sW01500,
37.219686,-3.599348,0.8509,27.367,12.597,0.84649,C19a1sW01501,
37.258564,-4.133205,0.91,11.336,12.301,-1.0,C19a1sW01502,
37.287425,-1.988048,0.944,10.524,12.312,-1.0,C19a1sW01503,
37.291504,-6.006256,0.65,10.913,12.191,-1.0,C19a1sW01504,
37.311684,-2.416746,1.0416,11.517,12.248,-1.0,C19a1sW01505,
37.323854,-2.958677,1.156,13.116,12.549,-1.0,C19a1sW01506,
37.326926,-2.046713,0.2483,23.528,12.409,-1.0,C19a1sW01507,
37.327152,-6.533866,1.2838,10.643,12.013,-1.0,C19a1sW01508,
37.335429,-6.435172,0.712,10.426,12.016,-1.0,C19a1sW01509,
37.340508,-6.019357,1.0192,14.498,12.233,-1.0,C19a1sW01510,
37.341521,-6.445225,0.9296,12.306,12.107,-1.0,C19a1sW01511,
37.369034,-5.889055,0.2653,31.798,12.259,0.29514,C19a1sW01512,
37.379586,-6.162803,0.8325,11.442,12.308,-1.0,C19a1sW01513,
37.387779,-4.66324,0.612,22.918,12.378,0.62485,C19a1sW01514,
37.401047,-3.606418,0.316,37.784,12.623,-1.0,C19a1sW01515,
37.406383,-4.63149,0.9137,12.076,12.048,-1.0,C19a1sW01516,
37.412737,-2.529665,1.1259,10.025,12.056,-1.0,C19a1sW01517,
37.418527,-3.362711,0.7466,13.022,12.324,-1.0,C19a1sW01518,
37.423691,-3.374845,0.8736,10.488,12.177,-1.0,C19a1sW01519,
37.436344,-6.04313,1.1961,11.906,12.19,-1.0,C19a1sW01520,
37.436801,-6.521556,0.7704,10.7,12.108,0.68379,C19a1sW01521,
37.448052,-3.237001,0.244,11.756,12.037,0.25333,C19a1sW01522,
37.480904,-2.038245,0.33,10.56,12.227,0.33849,C19a1sW01523,
37.485806,-2.614906,0.872,12.009,12.047,-1.0,C19a1sW01524,
37.487805,-3.520655,0.5806,40.154,12.735,0.55554,C19a1sW01525,
37.489622,-5.858422,0.6376,12.505,12.327,0.61839,C19a1sW01526,
37.494939,-5.574513,0.216,10.689,11.995,0.28009,C19a1sW01527,
37.506763,-6.357433,1.0519,10.933,12.12,-1.0,C19a1sW01528,
37.517101,-5.671038,0.4879,15.634,12.231,0.4964,C19a1sW01529,
37.53051,-2.156129,0.1686,12.812,12.1,-1.0,C19a1sW01530,
37.562739,-4.45864,0.198,11.567,12.219,0.19941,C19a1sW01531,
37.564452,-3.953257,0.7013,24.659,12.454,0.71642,C19a1sW01532,
37.567554,-4.947837,1.0494,12.112,12.028,-1.0,C19a1sW01533,
37.577846,-2.890559,0.8481,20.004,12.303,-1.0,C19a1sW01534,
37.583683,-5.887761,0.9461,19.148,12.243,-1.0,C19a1sW01535,
37.584867,-6.433879,1.056,36.192,12.506,-1.0,C19a1sW01536,
37.587684,-4.399911,1.0429,10.875,12.221,-1.0,C19a1sW01537,
37.611556,-5.813012,1.0828,14.541,12.073,-1.0,C19a1sW01538,
37.615632,-4.563605,0.2576,28.807,12.39,0.29507,C19a1sW01539,
37.623924,-5.225316,0.198,15.658,12.214,0.18792,C19a1sW01540,
37.634223,-5.486772,0.775,10.445,12.237,-1.0,C19a1sW01541,
37.635739,-3.897896,0.9473,19.421,12.403,-1.0,C19a1sW01542,
37.641909,-2.667737,0.946,16.182,12.324,-1.0,C19a1sW01543,
37.652319,-2.956589,1.106,19.061,12.222,-1.0,C19a1sW01544,
37.656849,-4.869216,0.7662,12.828,12.216,0.7236,C19a1sW01545,
37.66305,-3.990955,0.2581,13.862,12.112,0.27185,C19a1sW01546,
37.667269,-5.570274,0.616,10.678,12.203,0.5912,C19a1sW01547,
37.672195,-4.921305,1.1538,10.019,12.216,-1.0,C19a1sW01548,
37.674407,-2.348381,0.9774,10.188,11.825,-1.0,C19a1sW01549,
37.687413,-5.341438,0.928,10.124,12.327,0.9267,C19a1sW01550,
37.694291,-2.811519,0.7942,15.686,12.239,-1.0,C19a1sW01551,
37.700356,-1.984221,1.1133,19.908,12.662,-1.0,C19a1sW01552,
37.71185,-4.853187,0.2825,13.581,12.065,0.25663,C19a1sW01553,
37.719749,-3.968881,0.7712,15.584,12.362,0.75875,C19a1sW01554,
37.720853,-4.347782,0.147,15.445,12.097,0.14084,C19a1sW01555,
37.721912,-6.243669,1.058,14.231,12.031,-1.0,C19a1sW01556,
37.731194,-6.39635,1.1887,13.22,12.263,-1.0,C19a1sW01557,
37.731242,-2.058686,0.9825,11.803,12.035,-1.0,C19a1sW01558,
37.733749,-2.043181,1.156,10.064,12.406,-1.0,C19a1sW01559,
37.751233,-4.320333,0.8852,15.483,12.311,-1.0,C19a1sW01560,
37.768562,-5.559867,0.316,10.518,12.025,0.33912,C19a1sW01561,
37.77117,-4.550623,1.014,11.536,12.351,-1.0,C19a1sW01562,
37.781504,-1.783447,0.8373,10.66,12.137,-1.0,C19a1sW01563,
37.799433,-6.289008,1.1147,14.02,12.349,-1.0,C19a1sW01564,
37.801705,-2.203788,0.98,12.301,12.317,-1.0,C19a1sW01565,
37.801856,-5.625664,0.844,11.273,12.312,-1.0,C19a1sW01566,
37.822641,-3.540217,0.5665,20.678,12.42,0.55869,C19a1sW01567,
37.826129,-6.206354,1.3377,15.077,12.358,-1.0,C19a1sW01568,
37.834457,-5.734986,0.736,13.386,12.3,0.7092,C19a1sW01569,
37.852975,-4.656256,0.9879,11.379,12.2,0.9169,C19a1sW01570,
37.86161,-6.035037,0.616,10.165,12.189,-1.0,C19a1sW01571,
37.863041,-3.518175,0.8599,19.083,12.252,-1.0,C19a1sW01572,
37.864001,-5.50238,1.0281,11.151,12.214,1.0373,C19a1sW01573,
37.871252,-3.568461,0.9521,10.812,12.221,-1.0,C19a1sW01574,
37.880973,-3.665512,0.766,28.589,12.566,0.74331,C19a1sW01575,
37.88325,-6.248592,0.6166,13.932,12.403,0.60272,C19a1sW01576,
37.894007,-5.617638,1.0463,10.378,12.159,-1.0,C19a1sW01577,
37.901193,-4.572989,0.9971,11.422,12.071,0.9788,C19a1sW01578,
37.901787,-2.220038,0.858,15.149,12.142,-1.0,C19a1sW01579,
37.905838,-3.718407,0.884,19.979,12.38,0.88033,C19a1sW01580,
37.909744,-5.306262,0.1503,13.929,12.349,0.14267,C19a1sW01581,
37.914264,-2.089476,0.7856,17.141,12.366,-1.0,C19a1sW01582,
37.921574,-4.882613,0.187,117.669,12.933,0.18524,C19a1sW01583,
37.943317,-3.810138,0.738,20.315,12.468,-1.0,C19a1sW01584,
37.948073,-3.7919,0.612,11.04,12.21,-1.0,C19a1sW01585,
37.964623,-2.347088,1.142,10.729,12.396,-1.0,C19a1sW01586,
37.967754,-2.206859,1.1548,23.64,12.577,-1.0,C19a1sW01587,
37.976674,-5.736463,0.3449,25.841,12.199,0.40295,C19a1sW01588,
37.984007,-5.698154,1.0836,14.565,12.324,-1.0,C19a1sW01589,
38.016333,-5.053922,0.8864,10.034,12.224,-1.0,C19a1sW01590,
38.025727,-2.171235,0.366,23.21,12.441,0.36636,C19a1sW01591,
38.031259,-5.545007,0.583,20.964,12.412,0.60771,C19a1sW01592,
38.061047,-5.241029,0.9825,30.911,12.579,-1.0,C19a1sW01593,
38.064956,-3.170129,0.6173,14.203,12.249,0.59804,C19a1sW01594,
38.069429,-6.257637,0.3289,10.574,12.082,0.34819,C19a1sW01595,
38.070717,-6.320418,1.1521,22.545,12.609,-1.0,C19a1sW01596,
38.088297,-1.939512,0.7873,10.553,12.197,-1.0,C19a1sW01597,
38.091371,-5.451427,1.126,14.762,12.333,-1.0,C19a1sW01598,
38.106894,-2.695387,0.618,20.973,12.428,-1.0,C19a1sW01599,
38.107541,-3.21725,0.284,11.273,12.058,0.28723,C19a1sW01600,
38.112304,-3.795002,1.094,11.649,12.243,-1.0,C19a1sW01601,
38.115762,-2.74598,0.25,12.353,12.237,0.26204,C19a1sW01602,
38.117673,-4.992366,1.1374,12.861,12.361,-1.0,C19a1sW01603,
38.118049,-3.737792,0.8126,12.25,11.988,-1.0,C19a1sW01604,
38.147292,-6.120985,0.7775,11.111,12.157,-1.0,C19a1sW01605,
38.14751,-2.879703,0.774,10.759,12.132,-1.0,C19a1sW01606,
38.14771,-6.491899,0.646,17.6,12.296,0.64513,C19a1sW01607,
38.157254,-4.744546,0.258,39.272,12.492,0.27745,C19a1sW01608,
38.158436,-6.074122,1.15,21.934,12.515,-1.0,C19a1sW01609,
38.17138,-2.17033,0.5,14.985,12.236,0.49095,C19a1sW01610,
38.17142,-3.958187,0.606,12.662,12.193,-1.0,C19a1sW01611,
38.182885,-5.67035,0.4248,17.101,12.252,0.41718,C19a1sW01612,
38.197515,-3.386151,0.642,12.596,12.149,0.66762,C19a1sW01613,
38.200739,-4.868748,0.7873,13.156,12.287,-1.0,C19a1sW01614,
38.201446,-6.556046,0.3388,19.965,12.154,-1.0,C19a1sW01615,
38.204294,-3.91655,1.0834,13.184,12.257,-1.0,C19a1sW01616,
38.207757,-3.390573,0.4612,12.368,12.216,-1.0,C19a1sW01617,
38.218747,-2.610654,0.702,15.348,12.346,0.57281,C19a1sW01618,
38.22344,-2.439838,0.854,13.569,12.025,-1.0,C19a1sW01619,
38.228552,-2.777726,1.0711,13.459,12.168,-1.0,C19a1sW01620,
38.239407,-5.347627,0.868,12.604,12.042,-1.0,C19a1sW01621,
38.239943,-2.849988,0.3219,14.243,12.187,0.33291,C19a1sW01622,
38.240395,-2.225699,0.8532,16.781,12.247,-1.0,C19a1sW01623,
38.241726,-5.543843,0.2158,19.756,12.097,0.28977,C19a1sW01624,
38.242891,-3.140052,0.3654,10.182,12.012,-1.0,C19a1sW01625,
38.248809,-6.294273,0.1933,17.144,12.246,0.18883,C19a1sW01626,
38.251454,-1.942337,0.99,10.666,11.723,-1.0,C19a1sW01627,
38.273302,-2.476719,0.57,16.001,12.113,0.57249,C19a1sW01628,
38.276118,-3.464444,0.8741,13.348,12.163,-1.0,C19a1sW01629,
38.279789,-5.649692,1.2679,19.61,12.416,-1.0,C19a1sW01630,
38.282988,-3.184131,0.832,10.58,12.229,-1.0,C19a1sW01631,
38.292695,-3.674018,0.5001,13.554,12.227,-1.0,C19a1sW01632,
38.302951,-3.60203,0.7638,11.874,12.241,0.76498,C19a1sW01633,
38.326535,-2.686553,0.81,10.357,12.321,-1.0,C19a1sW01634,
38.347979,-4.916918,0.804,11.508,11.98,-1.0,C19a1sW01635,
38.350938,-5.708108,0.424,20.773,12.303,0.43737,C19a1sW01636,
38.383134,-3.467002,1.1501,12.48,12.386,-1.0,C19a1sW01637,
38.386795,-4.20049,0.2758,26.523,12.516,0.27696,C19a1sW01638,
38.398282,-5.506037,0.4296,49.864,12.669,0.43008,C19a1sW01639,
38.401844,-5.808894,1.034,13.806,12.08,-1.0,C19a1sW01640,
38.403463,-3.586908,0.7619,12.348,12.079,-1.0,C19a1sW01641,
38.416265,-3.237577,1.2739,11.115,12.151,-1.0,C19a1sW01642,
38.443589,-3.599198,1.1498,11.486,12.233,-1.0,C19a1sW01643,
38.458641,-4.803827,0.1784,11.879,12.127,0.18275,C19a1sW01644,
38.476441,-5.716735,0.358,14.754,12.129,0.35661,C19a1sW01645,
38.487592,-3.870438,0.7419,13.506,12.227,-1.0,C19a1sW01646,
38.511451,-4.290528,0.7346,13.616,12.131,0.74262,C19a1sW01647,
38.568896,-4.786918,1.1456,12.151,12.235,-1.0,C19a1sW01648,
38.569197,-3.540151,1.002,12.638,12.289,-1.0,C19a1sW01649,
38.574138,-3.148163,1.1382,11.094,12.386,-1.0,C19a1sW01650,
38.575121,-5.254717,0.8969,14.725,12.279,-1.0,C19a1sW01651,
38.586061,-3.749137,0.614,23.054,12.532,0.60133,C19a1sW01652,
38.593662,-2.573056,1.174,23.017,12.465,-1.0,C19a1sW01653,
38.60426,-4.97065,0.1547,13.384,12.287,0.1392,C19a1sW01654,
38.606779,-3.664965,1.036,10.915,12.171,-1.0,C19a1sW01655,
38.626943,-2.489125,0.31,15.738,12.234,0.30739,C19a1sW01656,
38.635797,-3.618093,0.586,11.434,12.284,-1.0,C19a1sW01657,
38.637796,-3.03124,0.4214,23.132,12.4,0.41472,C19a1sW01658,
38.637826,-3.164487,0.578,16.368,12.404,0.57126,C19a1sW01659,
38.654168,-5.2499,0.4503,11.339,12.054,0.4315,C19a1sW01660,
38.659793,-2.982204,0.59,31.166,12.578,-1.0,C19a1sW01661,
38.66352,-2.537234,0.808,10.312,12.061,-1.0,C19a1sW01662,
38.66918,-1.998198,0.3911,11.83,12.334,0.36035,C19a1sW01663,
38.683749,-3.51272,1.0171,10.341,11.877,-1.0,C19a1sW01664,
38.692201,-2.466631,0.2461,11.381,11.983,-1.0,C19a1sW01665,
38.716971,-3.537988,0.5107,10.77,12.102,0.50843,C19a1sW01666,
38.718058,-3.171185,0.734,13.896,12.254,-1.0,C19a1sW01667,
38.731053,-4.836825,0.7918,26.512,12.533,-1.0,C19a1sW01668,
38.752974,-6.393362,0.738,10.708,12.085,-1.0,C19a1sW01669,
38.771503,-4.426196,0.9801,15.236,12.408,-1.0,C19a1sW01670,
38.775293,-4.218517,0.914,18.037,12.382,-1.0,C19a1sW01671,
38.786125,-3.906157,0.9921,11.591,12.176,-1.0,C19a1sW01672,
38.788171,-5.399018,0.2968,14.22,12.365,0.29832,C19a1sW01673,
38.799712,-5.885598,0.7499,11.392,12.128,-1.0,C19a1sW01674,
38.80865,-3.209129,1.3631,11.028,12.248,-1.0,C19a1sW01675,
38.816422,-3.396777,0.578,42.807,12.729,0.60412,C19a1sW01676,
38.82588,-3.997131,1.0241,11.257,12.223,-1.0,C19a1sW01677,
38.826899,-5.705538,0.5396,12.787,12.237,0.54494,C19a1sW01678,
38.839702,-4.324685,0.4249,10.19,12.029,-1.0,C19a1sW01679,
38.841311,-5.281099,0.584,13.629,12.008,-1.0,C19a1sW01680,
38.848035,-4.631457,0.75,13.012,12.315,-1.0,C19a1sW01681,
38.855519,-3.054664,0.5882,19.02,12.543,0.58706,C19a1sW01682,
38.860533,-3.718386,0.604,10.22,12.402,-1.0,C19a1sW01683,
38.878918,-5.606433,0.778,11.871,12.048,-1.0,C19a1sW01684,
38.87905,-2.184514,0.1831,12.548,11.968,-1.0,C19a1sW01685,
38.892914,-3.036191,0.264,19.029,12.251,-1.0,C19a1sW01686,
38.918562,-4.987233,1.152,12.544,12.18,-1.0,C19a1sW01687,
38.921395,-2.60571,0.8484,12.869,12.107,-1.0,C19a1sW01688,
38.924039,-4.128229,1.155,10.434,12.218,-1.0,C19a1sW01689,
38.928036,-5.415711,0.186,62.794,12.752,0.18046,C19a1sW01690,
38.944596,-2.556338,1.172,11.925,12.219,-1.0,C19a1sW01691,
38.950203,-3.646257,0.27,11.897,12.196,-1.0,C19a1sW01692,
38.961813,-5.371405,0.276,12.616,12.167,-1.0,C19a1sW01693,
38.986887,-6.085407,0.2036,11.91,12.26,0.20273,C19a1sW01694,
38.990778,-6.198109,0.3117,11.777,12.139,0.33395,C19a1sW01695,
38.992711,-5.745826,0.9009,18.135,12.301,-1.0,C19a1sW01696,
39.00874,-3.585003,0.6081,14.158,12.282,-1.0,C19a1sW01697,
39.008773,-3.580639,0.7529,12.443,12.28,-1.0,C19a1sW01698,
39.025027,-4.10757,0.922,10.571,11.988,-1.0,C19a1sW01699,
39.038243,-6.450673,0.368,14.895,12.364,-1.0,C19a1sW01700,
39.060216,-3.223621,0.284,10.699,12.064,-1.0,C19a1sW01701,
