RA,Dec,z_cl,N_mem,logMs,z_bcg,ID,
0.829086,1.582451,0.5041,17.084,12.257,0.50942,C19a1sW00084,
0.842459,0.596614,0.732,10.199,12.424,-1.0,C19a1sW00085,
0.843699,1.057894,0.104,21.093,12.44,0.07948,C19a1sW00086,
0.853325,1.489039,1.0097,10.239,12.137,-1.0,C19a1sW00087,
0.856966,0.913754,0.202,11.948,12.258,-1.0,C19a1sW00088,
0.860444,0.95304,1.1832,14.244,12.371,-1.0,C19a1sW00089,
0.862597,2.221954,0.9218,23.764,12.536,-1.0,C19a1sW00090,
0.866548,-0.040434,0.656,16.007,12.39,-1.0,C19a1sW00091,
0.877959,0.4658,0.1925,10.409,11.941,0.19199,C19a1sW00092,
0.886179,0.560704,0.6765,12.857,12.376,-1.0,C19a1sW00093,
0.901753,2.453492,1.1982,12.597,12.328,-1.0,C19a1sW00094,
0.908295,1.93168,0.55,10.785,12.069,0.54547,C19a1sW00095,
0.910908,1.495079,0.922,12.055,12.389,-1.0,C19a1sW00096,
0.929416,1.839553,0.3417,12.847,12.128,-1.0,C19a1sW00097,
0.933848,1.717574,0.8484,14.045,12.164,-1.0,C19a1sW00098,
0.939191,2.218702,0.432,14.358,12.27,-1.0,C19a1sW00099,
0.954769,0.719312,0.69,19.152,12.335,-1.0,C19a1sW00100,
0.956952,2.066506,0.1142,31.927,12.334,-1.0,C19a1sW00101,
0.972559,0.356184,0.512,10.053,12.052,0.51985,C19a1sW00102,
0.978223,1.443297,0.71,14.498,12.07,-1.0,C19a1sW00103,
1.000271,-0.207373,0.704,17.819,12.373,-1.0,C19a1sW00104,
1.005057,1.080541,0.7938,10.451,12.17,-1.0,C19a1sW00105,
1.008097,-0.377374,0.564,13.221,11.933,0.55188,C19a1sW00106,
1.016415,-0.664361,0.323,15.913,12.157,-1.0,C19a1sW00107,
1.027283,0.453795,0.9961,11.019,12.092,-1.0,C19a1sW00108,
1.028791,1.950883,0.8461,11.785,12.112,-1.0,C19a1sW00109,
