#   RA         Dec     z_cl    N_mem logMs  z_bcg    ID
134.055852   2.936006 1.0040  16.523 12.441 -1.0    C19a1nW03202
134.058767   1.810097 1.1615  15.252 12.616 -1.0    C19a1nW03203
134.065733   2.638560 1.1563  13.787 12.485 -1.0    C19a1nW03204
134.068437   2.197496 0.4166  10.668 11.987 -1.0    C19a1nW03205
134.076137   1.584494 0.3148  19.444 12.204 0.32098 C19a1nW03206
134.076246  -0.143103 1.1500  13.756 12.369 -1.0    C19a1nW03207
134.083323   1.636398 0.4351  10.088 12.275 0.43209 C19a1nW03208
134.086011   1.417577 0.7666  13.670 12.373 0.71859 C19a1nW03209
134.093111  -0.064486 0.4843  11.500 12.211 -1.0    C19a1nW03210
134.094259   0.223751 0.3700  14.642 12.193 0.37488 C19a1nW03211
134.095012  -0.989367 0.7759  12.210 12.178 -1.0    C19a1nW03212
134.095936  -1.601624 0.4224  16.750 12.097 -1.0    C19a1nW03213
134.097022  -1.190711 0.8699  12.602 12.481 -1.0    C19a1nW03214
134.099602   0.781072 0.3214  19.622 12.363 0.31939 C19a1nW03215
134.101490   0.525793 0.5253  10.944 12.313 -1.0    C19a1nW03216
134.102411  -0.366796 0.5000  12.243 12.163 0.49901 C19a1nW03217
134.102591   2.041091 1.0781  12.412 12.159 -1.0    C19a1nW03218
134.108414   3.055177 0.9360  11.552 12.136 -1.0    C19a1nW03219
134.111792  -1.126919 0.6160  22.969 12.453 -1.0    C19a1nW03220
134.112469  -0.679363 0.9040  10.229 12.117 -1.0    C19a1nW03221
134.113601   4.682437 0.8511  11.162 12.127 -1.0    C19a1nW03222
134.115185   0.272382 1.0821  10.354 12.152 -1.0    C19a1nW03223
134.120868   3.606808 0.7462  15.010 12.072 -1.0    C19a1nW03224
134.122187   1.741871 0.7088  58.200 12.834 -1.0    C19a1nW03225
134.123609   0.337661 0.8240  10.626 12.129 -1.0    C19a1nW03226
134.124765   2.214195 0.1300  14.032 12.203 0.07105 C19a1nW03227
134.147493  -0.543109 1.3422  10.738 12.318 -1.0    C19a1nW03228
134.148021  -0.976507 1.1560  14.707 12.384 -1.0    C19a1nW03229
134.149964   3.104781 0.1880  13.211 12.186 -1.0    C19a1nW03230
134.150176   3.249623 0.3204  20.133 12.216 -1.0    C19a1nW03231
134.150407   1.207119 0.5074  10.516 11.900 -1.0    C19a1nW03232
134.150906   2.748394 1.1500  13.365 12.253 -1.0    C19a1nW03233
134.154632   0.177742 1.1541  11.997 12.341 -1.0    C19a1nW03234
134.162293   2.949895 1.0172  13.865 12.172 -1.0    C19a1nW03235
134.167642   4.578499 0.6120  15.198 12.404 -1.0    C19a1nW03236
134.186771  -1.073974 0.8744  14.177 12.490 -1.0    C19a1nW03237
134.192726  -0.116534 0.8040  33.061 12.636 -1.0    C19a1nW03238
134.195799   2.329170 0.8819  15.311 12.186 -1.0    C19a1nW03239
134.209397   2.834557 0.9821  23.842 12.491 -1.0    C19a1nW03240
134.221479  -0.528994 0.7019  13.233 12.195 -1.0    C19a1nW03241
134.225501   0.633004 0.5633  11.155 12.131 0.56014 C19a1nW03242
134.230295   2.449421 0.9540  11.133 12.248 -1.0    C19a1nW03243
134.234765  -1.189727 0.1900  10.466 12.189 0.19547 C19a1nW03244
134.236778  -1.390908 0.6179  11.831 12.155 0.60717 C19a1nW03245
134.236848   2.236966 1.1431  10.912 12.163 -1.0    C19a1nW03246
134.238529  -0.250434 0.4040  25.999 12.487 -1.0    C19a1nW03247
134.239523  -1.121904 0.7593  13.264 12.281 0.73884 C19a1nW03248
134.245117   0.974105 0.6700  12.435 12.248 0.65718 C19a1nW03249
134.249781  -1.247628 0.6128  12.783 12.372 -1.0    C19a1nW03250
134.252469   4.417793 0.6820  32.472 12.640 0.64270 C19a1nW03251
134.256009  -0.758795 0.9781  15.411 12.283 -1.0    C19a1nW03252
134.273757   4.805243 1.0621  11.870 12.129 -1.0    C19a1nW03253
134.274884   1.250928 0.1247  18.132 12.237 0.10726 C19a1nW03254
134.276164   2.428493 0.7707  11.726 12.440 0.71342 C19a1nW03255
134.284717   1.851989 0.7665  16.433 12.435 -1.0    C19a1nW03256
134.291110  -0.917344 1.1668  20.949 12.495 -1.0    C19a1nW03257
134.294430  -1.111297 0.6300  13.871 12.115 -1.0    C19a1nW03258
134.304428   1.560653 0.3467  14.681 12.336 0.31940 C19a1nW03259
134.309197   1.570266 0.6220  11.498 12.356 0.61288 C19a1nW03260
134.311792   4.664399 0.6780  15.325 12.161 -1.0    C19a1nW03261
134.320661   1.661329 0.6280  11.359 12.114 -1.0    C19a1nW03262
134.321394  -0.975247 0.5963  12.589 12.519 -1.0    C19a1nW03263
134.322065   0.762541 0.3131  12.352 12.247 0.32044 C19a1nW03264
134.336231   1.966262 0.8920  17.751 12.252 -1.0    C19a1nW03265
134.342145   3.959211 0.1975  28.902 12.448 0.19585 C19a1nW03266
134.342223   4.873813 0.7105  29.986 12.618 -1.0    C19a1nW03267
134.345192   2.798681 0.9411  13.389 12.270 -1.0    C19a1nW03268
134.346562   1.613569 1.1521  11.492 12.192 -1.0    C19a1nW03269
134.351074   1.104187 0.2997  12.298 12.190 0.31736 C19a1nW03270
134.359356  -0.094737 0.8064  11.522 12.140 -1.0    C19a1nW03271
134.363820  -0.445477 0.4060  21.525 12.271 0.40544 C19a1nW03272
134.364394  -0.795102 0.6080  18.111 12.249 0.59714 C19a1nW03273
134.372728   1.084578 0.6720  11.699 12.327 -1.0    C19a1nW03274
134.389036  -1.075089 0.7120  13.481 12.419 0.71982 C19a1nW03275
134.390944  -1.525968 0.8672  17.945 12.431 -1.0    C19a1nW03276
134.400243   3.750727 1.1760  10.621 12.147 -1.0    C19a1nW03277
134.404837   3.816808 0.6240  10.948 12.168 -1.0    C19a1nW03278
134.405890  -0.412358 0.6080  17.596 12.552 -1.0    C19a1nW03279
134.412022  -0.931243 1.1520  15.581 12.510 -1.0    C19a1nW03280
134.417398  -0.554215 0.2642  13.863 12.168 -1.0    C19a1nW03281
134.425158   1.610658 0.5110  16.927 12.339 0.52461 C19a1nW03282
134.427827   4.324703 0.7540  11.712 12.188 -1.0    C19a1nW03283
134.430345   4.022117 0.4307  13.825 12.310 -1.0    C19a1nW03284
134.446074   4.250768 0.4520  13.096 12.327 0.43854 C19a1nW03285
134.447083   3.794881 0.3979  12.120 12.191 0.38847 C19a1nW03286
134.454507  -1.216888 0.2712  11.031 11.981 0.24745 C19a1nW03287
134.459014   0.721295 0.3080  17.032 12.309 0.31759 C19a1nW03288
134.460673   1.632514 0.2832  11.052 12.086 0.27406 C19a1nW03289
134.469589  -0.593318 0.6024  19.273 12.400 0.61487 C19a1nW03290
134.474797   3.176485 0.1920  74.441 12.812 -1.0    C19a1nW03291
134.476613   0.460033 0.6280  21.867 12.472 0.62572 C19a1nW03292
134.481526   1.001140 0.6721  19.197 12.217 -1.0    C19a1nW03293
134.485471   4.189058 0.5346  20.843 12.487 0.52100 C19a1nW03294
134.487027  -0.742784 0.6160  12.767 12.332 -1.0    C19a1nW03295
134.489482  -0.190835 0.5760  20.192 12.177 -1.0    C19a1nW03296
134.494774  -0.878968 1.1300  13.432 12.277 -1.0    C19a1nW03297
134.495016  -1.172033 0.6080  15.492 12.310 -1.0    C19a1nW03298
134.497521   1.469529 0.6998  35.027 12.702 -1.0    C19a1nW03299
134.497671   4.144462 1.1551  18.743 12.399 -1.0    C19a1nW03300
134.504369   1.022197 0.6843  18.102 12.245 -1.0    C19a1nW03301
134.508009   2.771501 0.1820  14.936 12.063 0.20111 C19a1nW03302
134.512609  -0.682893 0.2400  11.543 12.275 0.24498 C19a1nW03303
134.517267   2.217775 0.1980  14.533 12.300 0.20110 C19a1nW03304
134.520724   0.607610 0.6360  10.456 12.278 -1.0    C19a1nW03305
134.523741   2.629491 0.7808  10.359 12.427 -1.0    C19a1nW03306
134.530975  -1.027629 1.0688  10.133 12.095 -1.0    C19a1nW03307
134.533800   1.715920 0.6440  14.114 12.289 0.63941 C19a1nW03308
134.536880   0.943531 0.1800  10.338 12.024 0.16263 C19a1nW03309
134.537805   4.499496 0.8120  11.003 12.018 -1.0    C19a1nW03310
134.546155  -1.663878 0.5960  10.129 12.208 -1.0    C19a1nW03311
134.547563   1.901661 0.2520  14.749 12.131 -1.0    C19a1nW03312
134.558820   0.842522 0.6664  29.540 12.592 -1.0    C19a1nW03313
134.567751  -0.552744 0.5580  12.879 12.108 -1.0    C19a1nW03314
134.568854   2.088652 0.7790  17.296 12.520 -1.0    C19a1nW03315
134.570219   3.177872 1.1580  11.390 12.299 -1.0    C19a1nW03316
134.576745   3.996204 1.1600  14.552 12.397 -1.0    C19a1nW03317
134.578984  -1.164430 0.9396  11.438 12.157 -1.0    C19a1nW03318
134.580451   4.435922 1.0740  12.565 12.229 -1.0    C19a1nW03319
134.583460   1.854247 0.9522  17.659 12.452 -1.0    C19a1nW03320
134.589858   1.114150 0.7777  11.409 12.202 -1.0    C19a1nW03321
134.591627  -0.540766 0.7653  11.368 12.317 -1.0    C19a1nW03322
134.591841   1.406217 0.8661  16.521 12.345 -1.0    C19a1nW03323
134.595728   3.595121 0.6200  24.362 12.434 0.59353 C19a1nW03324
134.601030   0.167985 0.6686  10.221 11.945 -1.0    C19a1nW03325
134.604606   2.963114 0.9040  11.229 12.376 -1.0    C19a1nW03326
134.610709  -1.711949 0.6200  12.713 12.383 -1.0    C19a1nW03327
134.621631  -1.117712 0.2219  19.721 12.463 0.22486 C19a1nW03328
134.622250  -0.838419 0.8625  17.298 12.312 -1.0    C19a1nW03329
134.631797  -0.377119 0.9600  10.782 12.258 -1.0    C19a1nW03330
134.638829   4.322240 0.9101  16.170 12.456 -1.0    C19a1nW03331
134.642481   3.605358 1.1720  11.474 12.229 -1.0    C19a1nW03332
134.645713   0.349877 0.6420  10.718 12.140 -1.0    C19a1nW03333
134.651973   4.185399 1.1619  11.246 12.324 -1.0    C19a1nW03334
134.653600   4.170606 0.4380  10.056 12.251 0.43373 C19a1nW03335
134.654107   1.332581 0.2540  12.009 12.086 0.24966 C19a1nW03336
134.657509   1.460143 0.7520  35.290 12.462 -1.0    C19a1nW03337
134.661764   2.042297 1.1459  22.342 12.570 -1.0    C19a1nW03338
134.666190   4.604961 0.7108  12.203 12.380 -1.0    C19a1nW03339
134.670144  -1.711191 0.3300  12.753 12.158 0.33181 C19a1nW03340
134.674419   2.570249 0.7669  10.859 12.077 -1.0    C19a1nW03341
134.674982  -0.463653 0.6332  15.530 12.296 -1.0    C19a1nW03342
134.684979  -0.193540 1.1400  13.539 12.356 -1.0    C19a1nW03343
134.694512   0.106771 0.2605  23.936 12.497 0.26481 C19a1nW03344
134.696523  -0.097765 0.2560  10.733 11.947 0.26465 C19a1nW03345
134.700352  -1.115662 0.8521  18.242 12.389 -1.0    C19a1nW03346
134.700729   1.920152 1.1420  11.294 12.324 -1.0    C19a1nW03347
134.703826   0.739465 0.6483  10.975 12.321 -1.0    C19a1nW03348
134.705438   4.921301 0.8299  12.440 12.050 -1.0    C19a1nW03349
134.724465   0.851788 0.7814  11.476 12.266 -1.0    C19a1nW03350
134.730158   2.459427 0.9996  13.057 12.257 -1.0    C19a1nW03351
134.733975  -1.433982 1.0825  16.344 12.296 -1.0    C19a1nW03352
134.737808   1.807368 1.1479  12.124 12.337 -1.0    C19a1nW03353
134.739694   1.958454 0.7636  13.832 12.428 -1.0    C19a1nW03354
134.745403  -0.061335 1.0095  11.547 12.251 -1.0    C19a1nW03355
134.747527   3.895492 0.9160  14.852 12.389 -1.0    C19a1nW03356
134.750301   0.415511 0.4579  14.829 12.390 0.48447 C19a1nW03357
134.751769  -0.353613 0.5640  10.831 12.048 0.56225 C19a1nW03358
134.755639   1.111985 0.1774  23.807 12.213 0.16563 C19a1nW03359
134.759003   1.233898 0.8515  15.763 12.257 -1.0    C19a1nW03360
134.759266  -0.863604 0.6240  18.303 12.528 -1.0    C19a1nW03361
134.760998  -1.334328 1.3360  27.135 12.552 -1.0    C19a1nW03362
134.763497   3.911980 1.1755  10.422 12.216 -1.0    C19a1nW03363
134.769678   2.458369 0.4796  10.539 12.084 -1.0    C19a1nW03364
134.771952   4.339730 0.5187  14.483 12.168 -1.0    C19a1nW03365
134.806341   0.156007 0.7991  12.481 12.014 -1.0    C19a1nW03366
134.807408   3.084296 0.7672  20.570 12.384 -1.0    C19a1nW03367
134.815145   2.674301 0.8236  13.250 12.173 -1.0    C19a1nW03368
134.816394   1.352678 1.1400  14.483 12.247 -1.0    C19a1nW03369
134.819687  -1.751741 0.3040  12.448 12.176 -1.0    C19a1nW03370
134.820817  -1.145077 0.9860  14.137 12.099 -1.0    C19a1nW03371
134.827192   0.790150 0.9350  10.648 12.340 -1.0    C19a1nW03372
134.827701  -0.956968 0.8680  12.643 12.161 -1.0    C19a1nW03373
134.834370   1.174572 1.2854  14.066 12.163 -1.0    C19a1nW03374
134.835280   4.271083 0.9320  26.206 12.546 -1.0    C19a1nW03375
134.847933   3.047863 1.1559  15.991 12.299 -1.0    C19a1nW03376
134.870662  -1.041356 0.2180  21.422 12.320 0.22378 C19a1nW03377
134.870917   4.728042 1.1867  13.326 12.313 -1.0    C19a1nW03378
134.876326   2.461249 0.9800  13.127 12.292 -1.0    C19a1nW03379
134.884675   3.144733 0.1862  32.308 12.388 0.19590 C19a1nW03380
134.884770   2.555710 0.4980  12.095 12.162 0.49697 C19a1nW03381
134.893217   4.109324 0.7423  11.034 12.243 -1.0    C19a1nW03382
134.893770   3.857195 0.6100  12.002 12.163 -1.0    C19a1nW03383
134.906812   3.802786 1.1500  13.890 12.328 -1.0    C19a1nW03384
134.910686   4.093769 1.0800  12.603 12.229 -1.0    C19a1nW03385
134.911110   0.849152 0.9159  10.623 12.154 -1.0    C19a1nW03386
134.917062   2.319709 0.2540  10.998 12.105 0.27324 C19a1nW03387
134.924886   4.579298 0.1690  11.776 11.823 -1.0    C19a1nW03388
134.937832   2.725753 0.8661  15.147 12.393 -1.0    C19a1nW03389
134.943792  -1.184075 0.7567  33.127 12.639 -1.0    C19a1nW03390
134.950455   4.186550 0.2092  28.331 12.382 0.20765 C19a1nW03391
134.952103   2.096940 1.3321  10.622 12.282 -1.0    C19a1nW03392
134.953329  -1.505442 0.2600  16.639 12.083 0.29466 C19a1nW03393
134.954103   1.774517 1.1519  10.893 12.250 -1.0    C19a1nW03394
134.955281  -2.001269 1.1040  16.673 12.512 -1.0    C19a1nW03395
134.964859  -0.712121 0.7619  14.128 12.310 -1.0    C19a1nW03396
134.970923  -0.054282 0.4788  11.231 12.203 0.48981 C19a1nW03397
134.972166  -1.557467 0.5820  12.946 12.204 -1.0    C19a1nW03398
134.975406  -0.689242 1.0976  10.493 11.939 -1.0    C19a1nW03399
134.975873  -0.184475 0.3904  23.873 12.303 -1.0    C19a1nW03400
134.986926   0.189733 0.9460  12.154 12.299 -1.0    C19a1nW03401
134.995947   2.485073 0.5277  10.025 12.047 0.51976 C19a1nW03402
134.999845   1.976629 1.2100  10.606 12.149 -1.0    C19a1nW03403
135.017655   3.555164 0.6320  12.666 12.280 0.64269 C19a1nW03404
135.018826   3.977879 0.5607  15.731 12.245 -1.0    C19a1nW03405
135.018827  -0.430173 0.6220  12.241 12.463 0.61073 C19a1nW03406
135.030795   2.404698 0.3520  16.461 12.395 0.35069 C19a1nW03407
135.044547   2.617716 0.2020  12.679 12.258 0.20074 C19a1nW03408
135.051813  -0.188668 0.5571  10.077 12.237 0.57208 C19a1nW03409
135.053823   1.273054 0.7726  13.426 12.429 -1.0    C19a1nW03410
135.053926   2.818692 0.1931  16.755 12.241 0.20141 C19a1nW03411
135.055344  -0.647340 0.4784  11.990 12.182 -1.0    C19a1nW03412
135.063562  -0.605291 0.7400  12.340 12.424 -1.0    C19a1nW03413
135.071558   2.389878 0.2148  12.257 12.229 0.21582 C19a1nW03414
135.080872  -0.375711 1.3100  12.686 12.187 -1.0    C19a1nW03415
135.085340   0.749660 0.7873  12.989 12.258 -1.0    C19a1nW03416
135.086444  -0.434256 0.4830  16.149 12.388 0.49091 C19a1nW03417
135.087439   1.281557 0.3580  10.916 11.952 -1.0    C19a1nW03418
135.094580   0.720235 0.4700  11.699 12.234 0.48618 C19a1nW03419
135.100244   1.424212 0.6280  16.185 12.254 -1.0    C19a1nW03420
135.102652   2.484492 0.8054  11.492 12.220 -1.0    C19a1nW03421
135.107211  -0.292711 0.3975  31.629 12.481 -1.0    C19a1nW03422
135.117706   3.947634 0.7181  16.607 12.343 -1.0    C19a1nW03423
135.118389   0.254671 0.8243  10.532 12.303 -1.0    C19a1nW03424
135.125613   0.645855 0.5432  11.573 11.998 -1.0    C19a1nW03425
135.125836   3.751160 0.7061  12.166 11.956 -1.0    C19a1nW03426
135.126233   1.067464 0.7913  12.703 12.479 -1.0    C19a1nW03427
135.130530  -0.529754 0.5460  12.309 12.284 0.55538 C19a1nW03428
135.130711   4.199263 0.1863  12.087 12.144 -1.0    C19a1nW03429
135.132187   0.552950 0.7811  12.640 12.312 -1.0    C19a1nW03430
135.143529  -1.117062 0.2740  11.899 12.304 0.27199 C19a1nW03431
135.151067   2.527879 0.8282  25.457 12.674 -1.0    C19a1nW03432
135.152360   3.568257 0.8360  16.795 12.197 -1.0    C19a1nW03433
135.173525   2.831235 1.1599  11.697 12.177 -1.0    C19a1nW03434
135.181514   3.158485 0.6380  20.910 12.521 -1.0    C19a1nW03435
135.203439   0.503250 1.1840  14.062 12.204 -1.0    C19a1nW03436
135.208137   3.782031 0.8240  13.277 11.921 -1.0    C19a1nW03437
135.211479  -0.579959 0.4640  13.925 12.184 0.46879 C19a1nW03438
135.211952   1.146853 0.9580  14.229 12.253 -1.0    C19a1nW03439
135.215028   3.052999 1.2423  14.311 12.201 -1.0    C19a1nW03440
135.216658  -0.479053 0.2800  11.845 12.255 0.29490 C19a1nW03441
135.227953  -0.178690 0.7620  14.953 12.422 0.73834 C19a1nW03442
135.233679   2.548109 0.9320  10.471 12.154 -1.0    C19a1nW03443
135.244919   2.731697 0.8762  12.790 12.236 -1.0    C19a1nW03444
135.248209  -1.124895 0.9280  11.223 12.194 -1.0    C19a1nW03445
135.248617   3.989576 0.4089  29.709 12.405 0.41189 C19a1nW03446
135.249831   1.268631 0.2548  16.520 12.245 0.25082 C19a1nW03447
135.256658   2.614338 0.8250  12.915 12.158 -1.0    C19a1nW03448
135.269540  -1.086270 0.4114  14.026 12.266 -1.0    C19a1nW03449
135.275428  -1.419068 0.3920  15.907 12.383 0.40465 C19a1nW03450
135.277453  -1.389197 0.7600  17.890 12.493 -1.0    C19a1nW03451
135.288044   3.288258 0.8088  10.611 12.131 -1.0    C19a1nW03452
135.303129   3.111479 0.6060  14.385 12.180 -1.0    C19a1nW03453
135.307294   0.782292 0.7829  15.934 12.417 0.77515 C19a1nW03454
135.319761   0.853538 0.3080  28.922 12.355 -1.0    C19a1nW03455
135.330608  -0.626756 0.5482  14.352 12.381 0.54837 C19a1nW03456
135.336866   2.112785 0.3520  24.055 12.323 0.35342 C19a1nW03457
135.341067   3.035453 0.1908  52.987 12.616 0.19310 C19a1nW03458
135.348854   2.064944 0.4700  13.337 12.041 -1.0    C19a1nW03459
135.358170   0.930808 1.0320  11.154 12.126 -1.0    C19a1nW03460
135.362480  -0.769219 0.8120  16.580 12.239 -1.0    C19a1nW03461
135.370198  -1.411343 0.4166  10.665 11.912 -1.0    C19a1nW03462
135.370348   0.432855 0.2477  10.556 12.120 0.22311 C19a1nW03463
135.372719  -0.317320 0.2573  10.209 12.047 0.19510 C19a1nW03464
135.376304  -1.717926 1.1719  12.539 12.433 -1.0    C19a1nW03465
135.377848  -1.654834 0.3160  92.268 13.024 0.31653 C19a1nW03466
135.387106   3.899467 0.8802  10.512 12.234 -1.0    C19a1nW03467
135.388242   0.841079 0.5336  12.396 12.220 0.54076 C19a1nW03468
135.404244  -1.908674 0.3100  34.567 12.579 -1.0    C19a1nW03469
135.404753   1.199232 0.4580  15.379 12.276 -1.0    C19a1nW03470
135.411900   1.630949 0.9027  10.062 12.196 -1.0    C19a1nW03471
135.420109  -1.796141 0.4035  12.017 12.082 -1.0    C19a1nW03472
135.422260  -0.546818 0.9460  10.032 12.109 -1.0    C19a1nW03473
135.422911   0.982568 0.9506  19.531 12.495 -1.0    C19a1nW03474
135.424836  -1.349826 0.5848  10.872 12.121 -1.0    C19a1nW03475
135.426286  -1.094052 0.8897  13.578 12.033 -1.0    C19a1nW03476
135.426375   1.352863 0.3007  19.330 12.190 0.31344 C19a1nW03477
135.429199  -0.677926 0.2520  15.738 12.253 0.25730 C19a1nW03478
135.439954  -0.742038 0.4020  15.618 12.315 -1.0    C19a1nW03479
135.443730   2.724294 0.6280  11.881 12.074 -1.0    C19a1nW03480
135.447219  -1.377504 0.3254  35.929 12.608 0.29506 C19a1nW03481
135.451350  -1.920000 0.8713  11.344 12.401 -1.0    C19a1nW03482
135.463089   0.908553 0.9370  11.949 12.169 -1.0    C19a1nW03483
135.467680   1.154740 0.7841  10.392 12.300 -1.0    C19a1nW03484
135.472251  -1.999652 0.8700  22.296 12.440 -1.0    C19a1nW03485
135.485804  -0.336020 0.3139  11.198 12.096 0.32177 C19a1nW03486
135.487926   2.929471 1.1546  11.437 12.179 -1.0    C19a1nW03487
135.495491  -0.957995 0.8751  10.230 12.182 -1.0    C19a1nW03488
135.497933  -0.707119 0.4584  10.550 11.953 0.46821 C19a1nW03489
135.500771   2.106167 1.0100  14.024 12.369 -1.0    C19a1nW03490
135.502593   2.393264 0.2000  30.544 12.505 0.20159 C19a1nW03491
135.504644  -0.170810 0.9761  11.039 12.284 -1.0    C19a1nW03492
135.505723   2.456942 1.0559  22.392 12.495 -1.0    C19a1nW03493
135.517253   2.221233 0.7903  14.903 12.279 -1.0    C19a1nW03494
135.529890   2.002412 0.8371  12.823 12.274 -1.0    C19a1nW03495
135.542673  -1.237020 1.1040  10.167 12.128 -1.0    C19a1nW03496
135.545836   3.421314 0.5416  27.815 12.491 0.53463 C19a1nW03497
135.571663   2.779837 1.1739  10.187 12.262 -1.0    C19a1nW03498
135.587046   0.527135 1.1880  12.265 12.340 -1.0    C19a1nW03499
135.587190  -1.807524 0.3020  12.552 12.433 0.28101 C19a1nW03500
135.587888   0.884098 1.1160  15.299 12.448 -1.0    C19a1nW03501
135.588171   3.606591 0.3839  10.722 11.972 -1.0    C19a1nW03502
135.592435  -1.463257 0.2890  18.490 12.493 0.29523 C19a1nW03503
135.604246  -0.869455 0.4110  18.043 12.337 -1.0    C19a1nW03504
135.616946   0.406408 0.5360  11.896 11.993 -1.0    C19a1nW03505
135.625824   0.822218 1.1534  11.159 12.304 -1.0    C19a1nW03506
135.632702  -1.905955 0.9151  21.817 12.425 -1.0    C19a1nW03507
135.644541   4.220914 0.9765  11.377 11.994 -1.0    C19a1nW03508
135.672323   1.275539 0.8285  10.509 12.228 -1.0    C19a1nW03509
135.676529   1.365892 0.2548  22.066 12.518 0.25709 C19a1nW03510
135.679194  -0.578928 0.4860  12.758 12.028 0.49267 C19a1nW03511
135.681287  -0.802742 1.1560  10.394 12.376 -1.0    C19a1nW03512
135.681411  -1.070253 1.1248  12.186 12.155 -1.0    C19a1nW03513
135.682554   3.065172 0.7994  10.125 12.169 -1.0    C19a1nW03514
135.684935  -1.026764 0.4208  16.718 12.467 -1.0    C19a1nW03515
135.690691  -0.498486 0.8855  10.474 12.204 -1.0    C19a1nW03516
135.690717   2.750736 0.9427  10.182 12.239 -1.0    C19a1nW03517
135.692903   0.917956 0.7727  10.775 12.157 -1.0    C19a1nW03518
135.697099   2.757491 0.8460  10.929 12.417 -1.0    C19a1nW03519
135.711023  -1.382053 0.4432  12.572 12.139 -1.0    C19a1nW03520
135.713487  -0.872225 0.8620  13.545 12.225 -1.0    C19a1nW03521
135.714828  -0.637939 1.0371  15.110 12.102 -1.0    C19a1nW03522
135.719089  -1.812398 0.6300  16.153 12.352 -1.0    C19a1nW03523
135.734193   4.226967 0.9300  11.561 12.236 -1.0    C19a1nW03524
135.735871   3.042564 0.1985  18.967 12.242 0.20021 C19a1nW03525
135.737705   4.142396 0.7583  10.756 12.257 -1.0    C19a1nW03526
135.742706   4.220622 0.2967  14.732 12.116 0.29974 C19a1nW03527
135.747111  -0.808130 0.4092  14.867 12.087 -1.0    C19a1nW03528
135.762335  -0.231629 0.5280  12.704 12.162 0.55793 C19a1nW03529
135.764118   1.468066 0.3900  11.687 11.980 -1.0    C19a1nW03530
135.771308   1.721506 1.1499  10.690 12.088 -1.0    C19a1nW03531
135.775874  -0.817512 0.6340  12.794 12.280 -1.0    C19a1nW03532
135.776342  -1.166004 0.7817  10.297 12.154 -1.0    C19a1nW03533
135.783432  -1.777861 0.3040  16.230 12.362 -1.0    C19a1nW03534
135.786874   2.861974 0.9560  10.440 12.290 -1.0    C19a1nW03535
135.808325   0.620965 0.2651  12.645 12.201 0.29852 C19a1nW03536
135.818222   1.236189 0.7670  13.534 12.169 0.73199 C19a1nW03537
135.819830   1.620099 1.1539  10.487 12.194 -1.0    C19a1nW03538
135.821973   0.501532 0.3620  12.586 12.151 0.40156 C19a1nW03539
135.823109   0.812607 0.8235  10.171 12.209 -1.0    C19a1nW03540
135.824681   3.461856 0.1933  13.259 11.899 0.19273 C19a1nW03541
135.829300  -1.265683 0.7814  14.192 12.207 -1.0    C19a1nW03542
135.834716   1.835760 1.1352  13.348 12.361 -1.0    C19a1nW03543
135.840940   2.737328 0.7860  19.386 12.499 0.76485 C19a1nW03544
135.847946   3.125655 0.3465  14.387 12.067 0.35480 C19a1nW03545
135.848957   1.057363 0.3040  10.307 12.037 -1.0    C19a1nW03546
135.849681   3.373483 0.9333  12.607 12.192 -1.0    C19a1nW03547
135.849862   3.155417 1.0781  10.696 12.167 -1.0    C19a1nW03548
135.852070   2.068019 0.7866  15.358 12.390 -1.0    C19a1nW03549
135.852417   1.210582 0.3079  14.717 12.136 0.31562 C19a1nW03550
135.864998   0.119136 0.8923  11.985 12.335 -1.0    C19a1nW03551
135.867747   3.436689 0.3640  12.535 12.127 0.36417 C19a1nW03552
135.869604   3.999417 0.8429  14.579 12.227 -1.0    C19a1nW03553
135.875628  -1.606151 0.4463  53.096 12.790 -1.0    C19a1nW03554
135.876199   4.135788 0.7339  21.650 12.421 -1.0    C19a1nW03555
135.883467   4.108179 0.8759  11.971 12.359 -1.0    C19a1nW03556
135.888583  -0.974923 0.4221  17.179 12.341 0.40590 C19a1nW03557
135.894877   0.748437 1.0869  19.287 12.328 -1.0    C19a1nW03558
135.895555   3.199880 0.8029  19.195 12.318 -1.0    C19a1nW03559
135.899384   1.558821 0.3640  13.036 12.151 -1.0    C19a1nW03560
135.907134   3.147461 0.9100  10.861 12.250 -1.0    C19a1nW03561
135.910220  -1.058502 0.7701  12.152 12.395 -1.0    C19a1nW03562
135.916705   1.194793 0.5489  13.509 11.915 0.57124 C19a1nW03563
135.917451  -0.865390 0.5577  14.486 12.223 -1.0    C19a1nW03564
135.926399   3.761426 0.9119  12.044 11.960 -1.0    C19a1nW03565
135.928993   1.446387 1.1439  10.710 12.407 -1.0    C19a1nW03566
135.937129   2.906432 0.7572  12.132 11.984 -1.0    C19a1nW03567
135.938398   0.905328 0.6500  12.339 12.169 -1.0    C19a1nW03568
135.941143  -1.264858 0.1700  13.125 12.104 0.17561 C19a1nW03569
135.943308   2.658580 0.8179  19.112 12.370 -1.0    C19a1nW03570
135.956086  -1.283393 0.2947  17.467 12.350 -1.0    C19a1nW03571
135.974659  -1.232146 1.3349  10.571 12.226 -1.0    C19a1nW03572
135.986364   0.640980 0.8069  13.012 12.346 -1.0    C19a1nW03573
135.998609   2.725377 0.7980  19.963 12.375 -1.0    C19a1nW03574
135.999364   3.224875 0.6073  11.208 11.994 -1.0    C19a1nW03575
