#   RA         Dec     z_cl    N_mem logMs  z_bcg    ID
  0.720994  -0.669563 1.0630  11.769 12.004 -1.0    C19a1nW00083
  0.729049   1.844990 0.3360  21.733 12.249 0.34414 C19a1nW00084
  0.732585   1.067719 0.6300  10.656 12.261 -1.0    C19a1nW00085
  0.742136   0.692331 0.2589  11.221 12.099 -1.0    C19a1nW00086
  0.748106   2.450716 0.7741  14.955 12.104 -1.0    C19a1nW00087
  0.751025   0.894703 0.8749  17.085 12.428 -1.0    C19a1nW00088
  0.751265   1.001351 0.9344  18.062 12.372 -1.0    C19a1nW00089
  0.764601   0.713525 0.7060  27.466 12.569 -1.0    C19a1nW00090
  0.779867   2.154058 0.4147  29.672 12.499 -1.0    C19a1nW00091
  0.794790   0.941332 0.8133  17.330 12.494 -1.0    C19a1nW00092
  0.796933   2.114612 0.8519  17.367 12.355 0.87333 C19a1nW00093
  0.801893   1.104351 0.9400  12.537 12.182 -1.0    C19a1nW00094
  0.804640   0.907033 1.1550  16.526 12.483 -1.0    C19a1nW00095
  0.829086   1.582451 0.5042  14.924 12.260 0.50942 C19a1nW00096
  0.843699   1.057894 0.1040  20.431 12.450 0.07948 C19a1nW00097
  0.856966   0.913754 0.2020  13.233 12.307 -1.0    C19a1nW00098
  0.860444   0.953040 1.1820  14.212 12.376 -1.0    C19a1nW00099
  0.862597   2.221954 0.9220  28.548 12.588 -1.0    C19a1nW00100
  0.863501   2.170765 0.7607  11.168 12.282 0.73010 C19a1nW00101
  0.866548  -0.040434 0.6509  13.419 12.398 -1.0    C19a1nW00102
  0.877959   0.465800 0.1925  10.093 11.943 0.19199 C19a1nW00103
  0.886179   0.560704 0.6880  14.092 12.433 -1.0    C19a1nW00104
  0.901753   2.453492 1.1985  11.218 12.331 -1.0    C19a1nW00105
  0.908295   1.931680 0.5500  10.435 12.070 0.54547 C19a1nW00106
  0.910908   1.495079 0.9220  10.916 12.389 -1.0    C19a1nW00107
  0.912199   1.825301 0.3444  12.066 12.111 -1.0    C19a1nW00108
  0.933848   1.717574 0.8475  13.841 12.166 -1.0    C19a1nW00109
  0.939191   2.218702 0.4360  14.992 12.357 -1.0    C19a1nW00110
  0.954769   0.719312 0.6900  19.571 12.430 -1.0    C19a1nW00111
  0.956952   2.066506 0.1148  33.269 12.425 -1.0    C19a1nW00112
  0.978223   1.443297 0.7100  12.737 12.091 -1.0    C19a1nW00113
  1.000271  -0.207373 0.5880  10.360 11.998 -1.0    C19a1nW00114
  1.000271  -0.207373 0.6965  18.347 12.387 -1.0    C19a1nW00115
  1.008097  -0.377374 0.5640  13.548 11.939 0.55188 C19a1nW00116
  1.016415  -0.664361 0.3230  15.893 12.173 -1.0    C19a1nW00117
  1.016960   1.511832 1.1800  14.753 12.483 -1.0    C19a1nW00118
  1.017870   2.315730 0.4252  11.794 11.988 0.42116 C19a1nW00119
  1.024777  -0.353970 0.7262  10.633 12.113 0.70742 C19a1nW00120
  1.027283   0.453795 0.9961  10.980 12.092 -1.0    C19a1nW00121
  1.028791   1.950883 0.8461  11.313 12.119 -1.0    C19a1nW00122
  1.028991   1.606852 0.4259  14.877 12.227 -1.0    C19a1nW00123
  1.038703   0.568108 0.9895  11.813 12.251 -1.0    C19a1nW00124
  1.046943   0.752259 0.3260  16.523 12.350 0.32957 C19a1nW00125
  1.048405   1.405021 0.8610  15.390 12.330 -1.0    C19a1nW00126
  1.056643   1.227732 0.7340  12.018 12.293 0.73260 C19a1nW00127
  1.067451   0.183053 0.6580  17.547 12.514 0.63325 C19a1nW00128
  1.084200   0.709501 0.1840  10.138 12.092 -1.0    C19a1nW00129
  1.090276  -0.660816 1.0263  22.093 12.450 -1.0    C19a1nW00130
  1.092183   2.232527 0.3980  12.030 11.985 -1.0    C19a1nW00131
  1.093535   1.071927 0.5272  16.194 12.450 0.52536 C19a1nW00132
  1.096349   1.553315 1.1740  13.412 12.446 -1.0    C19a1nW00133
  1.108164   1.252106 0.9339  28.498 12.575 -1.0    C19a1nW00134
  1.115693   1.391941 0.9261  20.825 12.605 -1.0    C19a1nW00135
  1.123302   2.416375 1.1437  12.449 12.229 -1.0    C19a1nW00136
  1.137571   1.384102 0.7400  11.570 12.375 0.72173 C19a1nW00137
  1.154300   1.837384 0.4235  13.195 12.314 0.42511 C19a1nW00138
  1.164550   2.156101 0.7571  19.833 12.392 0.74595 C19a1nW00139
  1.172830  -0.589623 0.7140  10.109 12.154 -1.0    C19a1nW00140
  1.193050   0.380756 0.6560  33.426 12.741 0.66625 C19a1nW00141
  1.195603  -0.842911 0.3255  12.922 11.848 -1.0    C19a1nW00142
  1.207757   1.746592 0.2400  11.035 12.263 0.23759 C19a1nW00143
  1.224361  -0.020939 0.2948  11.709 12.286 -1.0    C19a1nW00144
  1.229510   0.570764 0.3252  18.990 12.484 0.31966 C19a1nW00145
  1.233564   0.157303 0.6560  19.649 12.586 0.66512 C19a1nW00146
  1.234163   1.167306 0.8319  10.562 12.186 -1.0    C19a1nW00147
  1.244150   0.962098 0.1145  28.017 12.447 0.09531 C19a1nW00148
  1.249243   2.195339 0.8272  25.344 12.556 -1.0    C19a1nW00149
  1.274377   1.168343 1.1547  24.309 12.492 -1.0    C19a1nW00150
  1.300291   2.108042 1.0579  15.732 12.250 -1.0    C19a1nW00151
  1.305570   1.285698 1.0001  10.228 12.261 -1.0    C19a1nW00152
  1.306212   0.183950 0.7400  17.051 12.378 -1.0    C19a1nW00153
  1.311314   2.298769 0.7480  19.206 12.417 -1.0    C19a1nW00154
  1.342183   0.516897 0.5581  36.469 12.506 -1.0    C19a1nW00155
  1.346965   1.397690 0.6720  15.396 12.477 -1.0    C19a1nW00156
  1.356463   1.476998 0.8488  19.498 12.328 -1.0    C19a1nW00157
  1.357004   1.073157 0.8771  26.591 12.414 -1.0    C19a1nW00158
  1.360930   1.043040 0.7805  32.859 12.578 -1.0    C19a1nW00159
  1.363785   0.401948 1.0479  13.888 12.148 -1.0    C19a1nW00160
  1.369262  -0.208321 0.6939  14.808 12.359 0.66670 C19a1nW00161
  1.382074   1.204347 1.1820  12.033 12.240 -1.0    C19a1nW00162
  1.394998  -0.088370 0.6300  21.614 12.568 0.61686 C19a1nW00163
  1.399757   0.620391 0.6377  10.282 12.202 0.62392 C19a1nW00164
  1.401981   2.161594 0.9601  10.757 12.030 -1.0    C19a1nW00165
  1.408088   0.234566 0.3200  17.440 12.334 0.31854 C19a1nW00166
  1.408429   1.794713 0.3360  19.870 12.294 -1.0    C19a1nW00167
  1.410604   0.489759 1.1551  10.330 12.273 -1.0    C19a1nW00168
  1.422904   1.316587 0.3727  20.666 12.510 0.39487 C19a1nW00169
