# 17 clusters 
# subsample selection : FWHM = 200.00 [kpc]
# 0) projected distance from the camira centers < 1.2 r200m
# 1) num_peak >  num_th(zcl,N) = peaks of stacked image at redshift bins
# 2) exclude subpeaks of which distances from higher peaks are < FWHM
# 3) num_subpeaks - sum_i diffuse_D(higher_peaks_i) > num_th(zcl)
# diffuse_D=num_peak*normalized_radial_distribution_of_stacked_images(distance)
# M200m=(2.01x10^-2(N*ez)**1.421)/ez from Okabe+19 + offset between S18A and S16A
# -------------------------------------------------------------
# 1  : camira ID 
# 2  : camira center ra [deg]
# 3  : camira center dec [deg]
# 4  : camira redshift zcl 
# 5  : camira richness N_cor 
# 6  : camira bcg redshift zbcg 
# 7  : camira r200m [kpc]
# 8  : camira r200m [arcmin]
# 9  : peak position ra 
# 10 : peak position dec 
# 11 : peak nu=num_peak/num_th(zcl) 
# 12 : peak num_peak 
# 13 : peak num_th(zcl)
# 14 : peak num_norm=num_peak/num_main_peak 
# 15 : peak num_peak_eff = num_peak-diffuse_from_higher_peaks
# 16 : peak num_eff_norm=num_peak_eff/num_eff_main_peak 
# 17 : peak d_norm=distance_camira_center/r200m 
# 18 : peak d=distance_camira_center [kpc]
# 19 : peak dpeak_norm=distance_main_peak/r200m
# 20 : peak dpeak=distance_main_peak  [kpc]
# 21 : peak order : -1 = lower than nu_th, 0= main peak, 1,2,3...=subhalo peak descending order
C19a1sW05787 156.916438 0.215751 0.872200 10.659000 -1.000000 632.186964 1.350000 156.917185 0.200818 1.592915 0.047394 0.029753 0.751874 0.033392 0.529904 0.664533 8813.567804 1.361806 18061.366593 3.000000 
C19a1sW05787 156.916438 0.215751 0.872200 10.659000 -1.000000 632.186964 1.350000 156.936598 0.203058 1.268309 0.037736 0.029753 0.598653 0.029942 0.475166 1.058810 14042.791669 2.003517 26572.250034 4.000000 
C19a1sW06476 166.510561 -0.119562 0.764200 14.357000 -1.000000 752.215283 1.680000 166.490401 -0.093429 2.812922 0.082503 0.029330 1.000000 0.082090 1.000000 1.178775 17786.235975 0.000000 0.000000 0.000000 
C19a1sW06476 166.510561 -0.119562 0.764200 14.357000 -1.000000 752.215283 1.680000 166.488908 -0.130015 2.307126 0.067668 0.029330 0.820189 0.046037 0.560817 0.858733 12957.199586 1.307755 19732.372730 1.000000 
C19a1sW06476 166.510561 -0.119562 0.764200 14.357000 -1.000000 752.215283 1.680000 166.485921 -0.104629 2.490419 0.073044 0.029330 0.885341 0.039592 0.482304 1.029002 15526.340957 0.430813 6500.429060 2.000000 
C19a1sW06476 166.510561 -0.119562 0.764200 14.357000 -1.000000 752.215283 1.680000 166.480694 -0.123295 2.085851 0.061178 0.029330 0.741526 0.036385 0.443238 1.074968 16219.910468 1.121586 16923.324671 3.000000 
C19a1sW06476 166.510561 -0.119562 0.764200 14.357000 -1.000000 752.215283 1.680000 166.499361 -0.124042 1.898023 0.055669 0.029330 0.674747 0.031774 0.387065 0.430813 6500.429060 1.139200 17189.102630 4.000000 
C19a1sW08001 179.996458 -0.518727 0.106000 10.049000 0.200520 766.583161 6.570000 180.054699 -0.419420 2.383471 0.001442 0.000605 1.000000 0.001414 1.000000 1.051368 4212.945431 0.000000 0.000000 0.000000 
C19a1sW08001 179.996458 -0.518727 0.106000 10.049000 0.200520 766.583161 6.570000 180.048727 -0.514247 1.907438 0.001154 0.000605 0.800220 0.000816 0.577468 0.479071 1919.691378 0.867713 3477.022467 1.000000 
C19a1sW08001 179.996458 -0.518727 0.106000 10.049000 0.200520 766.583161 6.570000 180.003178 -0.541127 1.732231 0.001048 0.000605 0.726955 0.000807 0.570912 0.213573 855.811943 1.206960 4836.420310 2.000000 
C19a1sW08001 179.996458 -0.518727 0.106000 10.049000 0.200520 766.583161 6.570000 180.070381 -0.482140 1.928926 0.001167 0.000605 0.809212 0.000763 0.539396 0.753231 3018.278773 0.590414 2365.852117 3.000000 
C19a1sW08001 179.996458 -0.518727 0.106000 10.049000 0.200520 766.583161 6.570000 180.074862 -0.613553 1.371901 0.000830 0.000605 0.575894 0.000704 0.497925 1.123646 4502.572824 1.782441 7142.436225 4.000000 
C19a1sW08416 182.788745 0.027323 0.956000 15.266000 -1.000000 730.829388 1.520000 182.770078 0.028816 1.299192 0.046146 0.035519 1.000000 0.046146 1.000000 0.739196 11636.601988 0.000000 0.000000 0.000000 
C19a1sW08416 182.788745 0.027323 0.956000 15.266000 -1.000000 730.829388 1.520000 182.791732 0.025830 1.518821 0.053947 0.035519 1.169046 0.041805 0.905924 0.131810 2074.989280 0.862829 13582.861376 1.000000 
C19a1sW08416 182.788745 0.027323 0.956000 15.266000 -1.000000 730.829388 1.520000 182.802185 0.035536 1.400828 0.049756 0.035519 1.078216 0.040977 0.887987 0.621748 9787.704805 1.294831 20383.535409 2.000000 
C19a1sW08416 182.788745 0.027323 0.956000 15.266000 -1.000000 730.829388 1.520000 182.815625 0.039270 1.252090 0.044473 0.035519 0.963732 0.040407 0.875620 1.161128 18278.759389 1.844638 29038.731642 3.000000 
C19a1sW08416 182.788745 0.027323 0.956000 15.266000 -1.000000 730.829388 1.520000 182.788745 0.011643 1.380219 0.049024 0.035519 1.062359 0.037609 0.815004 0.618947 9743.615822 1.001238 15761.725593 4.000000 
